,employer,min_pos_salary,max_pos_salary,overtime_pay,lump_sum_pay,other_pay,retirement_cost_covered,health_benefits,Month,year
0,15,49512.0,66192.0,0.0,0.0,2576.11,0.0,0.0,4,1963
1,20,37380.0,65700.0,0.0,0.0,493.05,0.0,11605.58,4,1955
2,16,85188.0,150792.0,0.0,0.0,0.0,0.0,23270.64,1,1976
3,8,50148.0,71304.0,0.0,0.0,1023.79,0.0,17631.72,8,1953
4,4,22879.56,38749.56,0.0,0.0,1391.5,0.0,0.0,9,1958
5,23,28152.0,114780.0,0.0,0.0,0.0,0.0,0.0,8,1982
6,18,31200.0,53496.0,514.4,0.0,650.0,0.0,9084.24,4,1984
7,12,22879.56,38749.56,0.0,0.0,141.0,0.0,0.0,1,1950
8,12,22879.56,38749.56,0.0,0.0,677.6,0.0,0.0,2,1962
9,15,37380.0,65700.0,0.0,0.0,1805.0,0.0,9695.83,3,1988
10,9,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,9,1981
11,20,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,4,1980
12,10,49512.0,66192.0,0.0,0.0,3055.81,0.0,89.64,5,1982
13,7,49512.0,66192.0,0.0,0.0,950.0,0.0,0.0,9,1974
14,7,22879.56,38749.56,0.0,0.0,72.0,0.0,0.0,8,1968
15,0,31200.0,44604.0,0.0,0.0,650.0,0.0,89.64,3,1989
16,2,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,10,1967
17,8,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,1,1952
18,1,22879.56,38749.56,0.0,0.0,489.38,0.0,0.0,2,1977
19,16,85188.0,150792.0,0.0,0.0,47416.56,0.0,23270.64,4,1963
20,10,59076.0,131088.0,0.0,0.0,8262.0,0.0,22015.08,1,1982
21,22,22879.56,38749.56,0.0,0.0,1477.5,0.0,0.0,5,1956
22,19,67656.0,143952.0,0.0,0.0,5658.55,0.0,23270.64,12,1954
23,20,49512.0,66192.0,0.0,0.0,0.0,0.0,0.0,2,1963
24,18,22879.56,38749.56,0.0,0.0,3770.5,0.0,0.0,10,1967
25,8,22879.56,38749.56,0.0,0.0,5047.2,0.0,0.0,7,1960
26,1,44976.0,78984.0,0.0,0.0,1445.0,0.0,9329.16,7,1982
27,16,60864.0,213120.0,0.0,0.0,5664.0,0.0,0.0,2,1978
28,9,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,10,1984
29,0,22879.56,38749.56,0.0,0.0,621.9,0.0,0.0,8,1962
30,8,59076.0,131088.0,0.0,0.0,24334.8,0.0,9237.72,3,1984
31,6,22879.56,38749.56,0.0,0.0,426.0,0.0,0.0,1,1969
32,20,67656.0,120840.0,0.0,0.0,0.0,0.0,9329.16,9,1984
33,8,23587.2,324000.0,0.0,0.0,150.0,0.0,0.0,3,1975
34,18,59076.0,131088.0,0.0,0.0,0.0,0.0,0.0,4,1984
35,5,85188.0,150792.0,0.0,0.0,0.0,0.0,9329.16,12,1981
36,20,85188.0,150792.0,0.0,0.0,8041.18,0.0,17542.62,2,1973
37,6,28080.0,52920.0,0.0,0.0,0.0,0.0,0.0,11,1951
38,18,34152.0,59976.0,0.0,365.1,487.5,0.0,3849.05,2,1987
39,22,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,6,1981
40,23,49512.0,66192.0,0.0,0.0,0.0,0.0,23270.64,6,1972
41,10,22879.56,38749.56,0.0,0.0,4224.0,0.0,0.0,2,1981
42,19,22879.56,38749.56,0.0,0.0,1870.0,0.0,0.0,3,1956
43,18,49512.0,66192.0,0.0,0.0,6776.2,0.0,0.0,7,1978
