Id,employer,min_pos_salary,max_pos_salary,overtime_pay,lump_sum_pay,other_pay,retirement_cost_covered,health_benefits,DOB,pension,employer_url,location,total_wages
0,Gujarat Forensic Sciences University,22879.56,291194.4,0.0,0.0,0.0,0.0,0.0,14-11-1968,Part-Time Seasonal and Temporary (PST) Retirement Plan,gfsu.edu.in,Gandhinagar,1614.0
1,Maharaja Sayajirao University of Baroda,22879.56,38749.56,0.0,0.0,596.85,,0.0,26-02-1982,,msubaroda.ac.in,Vadodara,596.85
2,Sardar Patel University,22879.56,38749.56,0.0,0.0,1040.13,0.0,0.0,18-08-1957,,spuvvn.edu,Vallabh Vidhyanagar,1040.13
3,Dharamsinh Desai University,31200.0,48888.0,0.0,0.0,5399.6,,9319.08,02-04-1971,2.00% @ 62,ddu.ac.in,,37752.64
4,Dr. Babasaheb Ambedkar Open University,49512.0,66192.0,0.0,0.0,2697.0,0.0,0.0,27-04-1970,Part-Time Seasonal and Temporary (PST) Retirement Plan,baou.edu.in,Ahmedabad,21728.98
5,Gujarat Technological University,85188.0,150792.0,0.0,0.0,2000.0,0.0,17631.72,26-01-1958,2.00% @ 55,gtu.ac.in,Ahmedabad,95325.48
6,Bhakta Kavi Narsinh Mehta University,28079.4,41432.76,0.0,0.0,0.0,,0.0,14-09-1954,,www.bknmu.edu.in,Junagadh,604.5
7,Sardar Patel University,22879.56,38749.56,0.0,0.0,178.5,0.0,0.0,06-08-1962,,spuvvn.edu,Vallabh Vidhyanagar,178.5
8,Gujarat University,22879.56,38749.56,0.0,0.0,1435.5,0.0,0.0,08-06-1976,,gujaratuniversity.org.in,Ahmedabad,1435.5
9,Bhakta Kavi Narsinh Mehta University,22879.56,38749.56,0.0,0.0,3551.78,,0.0,21-04-1969,,www.bknmu.edu.in,Junagadh,3551.78
10,Navsari Agricultural University,54648.0,77856.0,0.0,0.0,-216.46,,4228.53,02-09-1970,2.00% @ 62,www.nau.in,Navsari,10392.37
11,Dharamsinh Desai University,41640.0,77832.0,0.0,0.0,0.0,0.0,1539.62,25-08-1984,2.00% @ 62,ddu.ac.in,Nadiad,11400.0
12,Saurashtra University,49512.0,66192.0,0.0,0.0,1444.84,,0.0,09-06-1957,Part-Time Seasonal and Temporary (PST) Retirement Plan,saurashtrauniversity.edu,Rajkot,7649.6
13,Sardarkrushinagar Dantiwada Agricultural University,22879.56,38749.56,0.0,0.0,462.0,0.0,0.0,02-08-1988,,sdau.edu.in,Palanpur,462.0
14,Bhakta Kavi Narsinh Mehta University,28079.4,41432.76,0.0,0.0,0.0,0.0,0.0,01-01-1953,,www.bknmu.edu.in,Junagadh,165.1
15,Gujarat Technological University,28152.0,66204.0,0.0,0.0,1080.0,,0.0,02-11-1969,,gtu.ac.in,Ahmedabad,10940.4
16,Veer Narmad South Gujarat University,22879.56,38749.56,0.0,0.0,6322.75,0.0,0.0,20-08-1951,,vnsgu.ac.in,,6322.75
17,Gujarat Forensic Sciences University,28079.4,41432.76,0.0,0.0,0.0,,0.0,09-09-1972,,gfsu.edu.in,,1040.0
18,Veer Narmad South Gujarat University,62340.0,88932.0,0.0,0.0,1023.79,,9329.16,16-07-1961,2.00% @ 55,vnsgu.ac.in,,64713.99
19,Dharamsinh Desai University,122700.0,212556.0,0.0,0.0,0.0,,23270.64,01-11-1951,2.00% @ 60,ddu.ac.in,Nadiad,87369.24
20,Anand Agricultural University,59076.0,131088.0,0.0,0.0,1981.67,0.0,19513.71,01-04-1953,2.00% @ 55,www.aau.in,Anand,79847.32
21,Gujarat Ayurved University,22879.56,38749.56,0.0,0.0,7090.75,0.0,0.0,06-10-1958,,ayurveduniversity.edu.in,Jamnagar,9590.45
22,Sardarkrushinagar Dantiwada Agricultural University,52464.0,125736.0,0.0,,650.0,,9084.24,22-06-1964,2.00% @ 62,sdau.edu.in,Palanpur,73111.0
23,Gujarat Ayurved University,22879.56,38749.56,0.0,,276.1,0.0,0.0,02-03-1952,,ayurveduniversity.edu.in,,276.1
24,Gujarat Technological University,22879.56,38749.56,0.0,0.0,1904.0,,0.0,25-09-1955,,gtu.ac.in,Ahmedabad,1904.0
25,Dharamsinh Desai University,46764.0,82152.0,0.0,1841.73,650.0,,8554.8,16-01-1975,2.00% @ 62,ddu.ac.in,Nadiad,26279.44
26,Gujarat Technological University,31200.0,48888.0,0.0,8.28,1021.2,0.0,14.94,20-10-1976,2.00% @ 62,gtu.ac.in,Ahmedabad,3319.62
27,Anand Agricultural University,49512.0,66192.0,0.0,0.0,1062.93,,29.88,21-09-1987,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.aau.in,Anand,6377.59
28,Dr. Babasaheb Ambedkar Open University,46764.0,82152.0,0.0,0.0,650.0,,9319.08,14-07-1984,2.00% @ 55,baou.edu.in,Ahmedabad,67206.32
29,Gujarat Forensic Sciences University,22879.56,38749.56,0.0,0.0,3349.5,0.0,0.0,25-04-1988,,gfsu.edu.in,Gandhinagar,3349.5
30,Gujarat Technological University,39456.0,73944.0,0.0,0.0,650.0,,8998.68,21-10-1964,2.00% @ 62,gtu.ac.in,Ahmedabad,48456.0
31,Navsari Agricultural University,22879.56,38749.56,0.0,0.0,0.0,,0.0,25-03-1963,Part-Time Seasonal and Temporary (PST) Retirement Plan,www.nau.in,Navsari,2826.0
32,Sardar Patel University,40452.0,75792.0,0.0,0.0,650.0,0.0,9237.72,05-04-1975,2.00% @ 55,spuvvn.edu,,54481.68
